video_trending_country,video_category_id,trending_appearances,total_views,avg_views,total_likes,rank
Ireland,Entertainment,13000,14406401234,13192675,471329682,2
Ireland,Sports,6405,4596773549,7137847,151370520,3
Ireland,Music,5298,4015304905,13657500,117230612,4
Ireland,People & Blogs,4917,6741120367,22697375,194153288,5
Ireland,Comedy,2869,2968356390,13492529,108318340,6
Ireland,Film & Animation,2861,1394414349,7007107,46933046,7
Ireland,News & Politics,989,399672450,4758005,11381520,8
Ireland,Science & Technology,747,1251358413,23610536,54984967,9
Ireland,Howto & Style,488,1236885880,49475435,22290033,10
Israel,Music,19616,5513867827,4672769,114604664,1
Israel,Gaming,17699,4183900009,979148,136656215,2
Israel,Entertainment,11958,21950110459,20045763,620534294,3
Israel,People & Blogs,10911,19109535395,19167037,393585168,4
Israel,Comedy,3332,4803461424,19605965,114787451,5
Israel,Sports,2474,4354192000,24056309,129822321,6
Israel,Howto & Style,1813,5736073118,42489431,89146403,7
Israel,Film & Animation,836,632571687,7442020,20388737,8
Israel,Science & Technology,476,1140501715,28512543,42904486,9
Israel,News & Politics,463,83657183,1578437,3424676,10
Italy,Gaming,21015,3908080450,331137,147258143,1
Italy,Music,14851,5053077926,1373866,160388744,2
Italy,Entertainment,12809,15186368278,5337915,483477309,3
Italy,People & Blogs,6815,11394340732,7108135,256258993,4
Italy,Sports,4976,4654263484,4483876,137755124,5
Italy,Comedy,1714,3259247627,12252811,91192351,6
Italy,Film & Animation,1391,896783021,2080703,30290036,7
Italy,Howto & Style,1272,2672170076,12371158,46014746,8
Italy,News & Politics,1116,252156487,1254510,6615398,9
Italy,Science & Technology,613,916257887,6544699,34197509,10
Jamaica,Music,17502,2488034553,2331804,76899693,1
Jamaica,Gaming,12297,3434039271,1600951,109227454,2
Jamaica,Entertainment,8872,18512047380,36950194,541214627,3
Jamaica,People & Blogs,5689,10975836343,34192637,253575865,4
Jamaica,Film & Animation,2765,1343121899,10919690,60477014,5
Jamaica,Comedy,2481,3869324366,34858778,98775951,6
Jamaica,Sports,2087,3121720171,21236192,94460276,7
Jamaica,Howto & Style,763,3257856396,66486865,55985348,8
Jamaica,Travel & Events,430,610705340,30535267,31280010,9
Jamaica,Science & Technology,392,795658638,53043909,26910083,10
Japan,Gaming,35888,3772746575,145750,89834886,1
Japan,Entertainment,24167,3363320941,562146,87713161,2
Japan,Music,13197,4615843124,1516873,170706876,3
Japan,People & Blogs,7348,1148474396,942918,20506904,4
Japan,Sports,5281,726435736,954580,10703982,5
Japan,Film & Animation,2358,422982362,1270217,15116219,6
Japan,Comedy,1996,192206669,861913,4211684,7
Japan,Howto & Style,1545,102561216,727385,1893923,8
Japan,News & Politics,1337,137868499,810991,1404108,9
Japan,Pets & Animals,829,57410940,820156,869517,10
Jordan,Gaming,32086,3648384465,492892,127866798,1
